WORD,TOTAL SCORE,UNIQUE SCORE
shock,7322,7322
ranch,7321,7321
drank,7320,7320
ether,10327,7318
there,10327,7318
three,10327,7318
crawl,7313,7313
woken,7310,7310
midge,7304,7304
choke,7298,7298
fairy,7297,7297
latch,7297,7297
rerun,9203,7293
curve,7290,7290
waxen,7286,7286
pixel,7281,7281
being,7280,7280
binge,7280,7280
begin,7280,7280
axion,7279,7279
empty,7278,7278
peace,10285,7276
swift,7276,7276
smoky,7273,7273
gusty,7272,7272
newly,7271,7271
tulle,8855,7269
zonal,7269,7269
stuck,7267,7267
rarer,11087,7267
leave,10270,7261
valve,7579,7261
gauze,7260,7260
front,7256,7256
amity,7254,7254
admin,7249,7249
imbue,7248,7248
boost,9163,7248
nudge,7243,7243
ficus,7239,7239
blush,7237,7237
bicep,7235,7235
sixty,7235,7235
warty,7234,7234
flirt,7234,7234
edify,7229,7229
drawn,7229,7229
bacon,7227,7227
bribe,7941,7226
micro,7224,7224
sappy,8177,7222
chime,7222,7222
rebel,10229,7220
beret,10228,7219
chard,7217,7217
adage,9565,7217
primo,7215,7215
turbo,7214,7214
gloss,10246,7213
fixer,7211,7211
guard,7207,7207
bravo,7206,7206
index,7206,7206
whine,7205,7205
payee,10207,7198
choir,7195,7195
aunty,7193,7193
sulky,7190,7190
ruder,9099,7189
udder,8370,7189
snoop,9103,7188
torch,7188,7188
spoon,9103,7188
enjoy,7184,7184
egret,10192,7183
greet,10192,7183
duvet,7182,7182
spasm,10212,7179
twirl,7178,7178
grout,7178,7178
fault,7169,7169
spill,8752,7166
mecca,8128,7164
sixth,7163,7163
gecko,7163,7163
wrath,7162,7162
eking,7161,7161
preen,10168,7159
dirty,7154,7154
showy,7153,7153
rover,9062,7152
gipsy,7145,7145
panic,7144,7144
elect,10153,7144
helix,7140,7140
clout,7139,7139
hardy,7139,7139
thyme,7137,7137
until,7137,7137
unlit,7137,7137
kiosk,7732,7136
cache,8099,7135
vicar,7132,7132
vocal,7131,7131
anvil,7129,7129
feign,7126,7126
gauge,7804,7125
unfed,7125,7125
haunt,7121,7121
bland,7115,7115
agony,7113,7113
angry,7108,7108
major,7105,7105
crank,7103,7103
world,7097,7097
silly,8683,7097
quake,7095,7095
floss,10128,7095
swing,7094,7094
prank,7094,7094
covey,7092,7092
gaily,7091,7091
fraud,7089,7089
flume,7088,7088
belch,7088,7088
graft,7083,7083
flush,7083,7083
third,7082,7082
gland,7079,7079
bulge,7078,7078
bugle,7078,7078
mango,7070,7070
among,7070,7070
unwed,7069,7069
brawl,7064,7064
creed,10073,7064
spiky,7062,7062
flour,7061,7061
lingo,7057,7057
login,7057,7057
ingot,7056,7056
truly,7056,7056
donut,7055,7055
habit,7054,7054
favor,7052,7052
proud,7050,7050
datum,7046,7046
knife,7043,7043
mourn,7042,7042
smash,10071,7038
aglow,7033,7033
manic,7032,7032
woven,7032,7032
radii,8623,7031
borax,7027,7027
valid,7025,7025
cramp,7020,7020
skimp,7019,7019
moult,7018,7018
armor,8926,7016
aroma,9364,7016
topic,7011,7011
optic,7011,7011
vogue,7010,7010
prawn,7003,7003
chain,7003,7003
china,7003,7003
tithe,8585,7000
troll,8582,6996
chant,6996,6996
stunt,8577,6992
agape,9339,6991
quota,6990,6990
usurp,8076,6987
gaunt,6986,6986
dryer,8896,6986
reedy,9995,6986
quart,6985,6985
wreck,6984,6984
abyss,10015,6982
glory,6976,6976
ennui,8260,6975
recur,8882,6972
wispy,6971,6971
snuck,6967,6967
salsa,12348,6967
dogma,6966,6966
upper,7918,6963
rupee,9972,6963
purer,8873,6963
puree,9972,6963
corny,6960,6960
crony,6960,6960
spunk,6958,6958
abbey,7673,6958
bayou,6953,6953
manly,6948,6948
modem,7791,6948
query,6947,6947
gassy,9979,6946
caput,6941,6941
chief,6940,6940
broth,6939,6939
throb,6939,6939
topaz,6938,6938
lyric,6938,6938
rural,8843,6933
fetch,6933,6933
vault,6926,6926
bliss,9959,6926
harpy,6913,6913
umbra,6905,6905
rumba,6905,6905
cabin,6904,6904
epoxy,6904,6904
libel,8488,6902
belie,9911,6902
bible,7617,6902
faith,6900,6900
woman,6896,6896
betel,9904,6895
aphid,6890,6890
arbor,8798,6888
fishy,6886,6886
blurt,6885,6885
macho,6884,6884
mocha,6884,6884
green,9892,6883
genre,9892,6883
given,6883,6883
charm,6879,6879
march,6879,6879
welch,6878,6878
prowl,6871,6871
whelp,6869,6869
scoop,8782,6867
liege,9875,6866
elude,9874,6865
cloth,6864,6864
etude,9873,6864
